"","City","Type","OS_reference","Points.Distance"
"113","Bristol","bus_stop","21796619",5.80026860697278
"114","Bristol","bus_stop","21796639",114.206178190123
"115","Bristol","bus_stop","21795904",4.63114765378526
"116","Bristol","bus_stop","21795380",5.78913565737756
"117","Bristol","bus_stop","21795470",5.76812787338484
"118","Bristol","bus_stop","21795571",73.4519335703445
"119","Bristol","bus_stop","21795157",196.649554180785
"120","Bristol","bus_stop","21795175",5.75414826815029
"121","Bristol","bus_stop","21795276",5.73768909390141
"122","Bristol","bus_stop","21795292",27.4129471149511
"123","Bristol","bus_stop","21795302",12.5450711464672
"124","Bristol","bus_stop","21795310",5.7502399171568
"125","Bristol","bus_stop","21796055",7.71503245590834
"126","Bristol","bus_stop","21796299",5.80013461480827
"127","Bristol","bus_stop","21796380",5.86202788684831
"128","Bristol","bus_stop","21796235",5.80314459267066
"129","Bristol","bus_stop","21796431",15.1227028246916
"130","Bristol","bus_stop","21796433",5.81636238933753
"131","Bristol","bus_stop","21795612",5.79399431370486
"132","Bristol","bus_stop","21795678",5.81150944086011
"133","Bristol","bus_stop","21795690",4.86015169505048
"134","Bristol","bus_stop","21795561",5.7805090378492
"135","Bristol","bus_stop","21795726",5.79381400448252
"136","Bristol","bus_stop","21795920",5.79326375857794
"137","Bristol","bus_stop","21795999",9.94315151975281
"138","Bristol","bus_stop","21796030",5.80151042838047
"139","Bristol","bus_stop","21796688",5.76436705322345
"140","Bristol","bus_stop","21796458",6.35009229532196
"141","Bristol","bus_stop","21796483",34.1727056132351
"142","Bristol","bus_stop","21795215",8.13180971319836
"143","Bristol","bus_stop","21795406",5.74091862516193
"144","Bristol","bus_stop","21795414",5.74962169369953
"145","Bristol","bus_stop","21795422",5.75257090308692
"146","Bristol","bus_stop","21795460",5.7710646655151
"147","Bristol","bus_stop","21795462",5.58855877141241
"148","Bristol","bus_stop","21795492",5.76299006171873
"149","Bristol","bus_stop","21795176",5.76029062317198
"150","Bristol","bus_stop","21796053",5.77031847818143
"151","Bristol","bus_stop","21796130",5.75868380442345
"152","Bristol","bus_stop","21796203",21.2521774070568
"153","Bristol","bus_stop","21796208",7.2999796980725
"154","Bristol","bus_stop","21796256",5.81042565438857
"155","Bristol","bus_stop","21796270",5.81213586666462
"156","Bristol","bus_stop","21796306",5.81594091454967
"157","Bristol","bus_stop","21796333",29.4801525835968
"158","Bristol","bus_stop","21796309",5.81547456977805
"159","Bristol","bus_stop","21796371",5.5843519489077
"160","Bristol","bus_stop","21795604",5.7869944487727
"161","Bristol","bus_stop","21795619",5.79603236039815
"162","Bristol","bus_stop","21795455",5.77532489694541
"163","Bristol","bus_stop","21795759",4.83485318036962
"164","Bristol","bus_stop","21795791",2.66784516267961
"165","Bristol","bus_stop","21796508",9.74353990918142
"166","Bristol","bus_stop","21796515",4.21011202723376
"167","Bristol","bus_stop","21796535",5.82860061002056
"168","Bristol","bus_stop","21796655",225.083728003108
"169","Bristol","bus_stop","21796667",4.71960291333069
"170","Bristol","bus_stop","21795283",5.75513614840884
"171","Bristol","bus_stop","21795372",5.78192714222833
"172","Bristol","bus_stop","21795402",5.73638945085008
"173","Bristol","bus_stop","21795494",5.75162365308039
"174","Bristol","bus_stop","21795562",5.78063769361205
"175","Bristol","bus_stop","21795576",5.77198464594305
"176","Bristol","bus_stop","21795585",4.75012765726313
"177","Bristol","bus_stop","21795239",2.43012970202545
"178","Bristol","bus_stop","21795277",5.73646148770819
"179","Bristol","bus_stop","21795295",9.89873181184822
"180","Bristol","bus_stop","21795345",5.76668705100503
"181","Bristol","bus_stop","21796000",4.8464132196417
"182","Bristol","bus_stop","21796083",5.7710924661003
"183","Bristol","bus_stop","21796142",5.80110215732402
"184","Bristol","bus_stop","21796156",5.75793551970845
"185","Bristol","bus_stop","21796246",10.2365634239711
"186","Bristol","bus_stop","21796300",11.0157024700786
"187","Bristol","bus_stop","21796315",33.9663669982817
"188","Bristol","bus_stop","21796366",7.43756136578256
"189","Bristol","bus_stop","21796210",5.80414217147835
"190","Bristol","bus_stop","21796239",42.8107062886974
"191","Bristol","bus_stop","21795650",5.81389300375209
"192","Bristol","bus_stop","21795747",5.79589164596243
"193","Bristol","bus_stop","21795753",5.80445850575775
"194","Bristol","bus_stop","21795943",5.67622541484161
"195","Bristol","bus_stop","21795967",8.60862706943288
"196","Bristol","bus_stop","21796679",5.09099693312431
"197","Bristol","bus_stop","21796538",5.82207353576391
"198","Bristol","bus_stop","21796622",2.26081120641577
"199","Bristol","bus_stop","21795150",5.74109063380807
"200","Bristol","bus_stop","21795371",7.99615334882801
"201","Bristol","bus_stop","21795385",4.35188192657676
"202","Bristol","bus_stop","21795405",5.73802662242083
"203","Bristol","bus_stop","21795409",12.9251830223626
"204","Bristol","bus_stop","21795445",5.76470975256421
"205","Bristol","bus_stop","21795476",5.4769710334556
"206","Bristol","bus_stop","21795497",5.75507868691943
"207","Bristol","bus_stop","21795506",5.7509654704188
"208","Bristol","bus_stop","21795081",46.9844258424068
"209","Bristol","bus_stop","21795093",5.79443644943117
"210","Bristol","bus_stop","21795192",5.75896661360732
"211","Bristol","bus_stop","21795228",5.76440051985585
"212","Bristol","bus_stop","21796054",2.91695297830647
"213","Bristol","bus_stop","21796152",5.77416752861007
"214","Bristol","bus_stop","21796158",5.75905101819379
"215","Bristol","bus_stop","21796279",5.8132044618668
"216","Bristol","bus_stop","21795596",5.79144998386363
"217","Bristol","bus_stop","21795608",5.78339127429123
"218","Bristol","bus_stop","21795719",9.28337885368618
"219","Bristol","bus_stop","21795680",13.1145285459666
"220","Bristol","bus_stop","21795946",7.20148774267238
"221","Bristol","bus_stop","21795947",5.78043554933574
"222","Bristol","bus_stop","21795948",22.3189500135391
"223","Bristol","bus_stop","21795966",63.1088433717598
"224","Bristol","bus_stop","21795986",5.7976868910288
"225","Bristol","bus_stop","21796555",5.30166660253984
"226","Bristol","bus_stop","21796495",22.3247566224117
"227","Bristol","bus_stop","21796588",10.8433292652113
"228","Bristol","bus_stop","21795258",7.57489748338686
"229","Bristol","bus_stop","21795384",5.78981220654149
"230","Bristol","bus_stop","21795528",5.75442854453042
"231","Bristol","bus_stop","21795533",5.75131407823348
"232","Bristol","bus_stop","21795559",5.77787049468002
"233","Bristol","bus_stop","21795082",2.94557659999478
"234","Bristol","bus_stop","21795262",8.56593376655673
"235","Bristol","bus_stop","21795294",2.15996321644912
"236","Bristol","bus_stop","21795305",5.73653622181722
"237","Bristol","bus_stop","21795341",5.76298100791306
"238","Bristol","bus_stop","21796070",5.78617290426428
"239","Bristol","bus_stop","21795987",5.79318979795598
"240","Bristol","bus_stop","21796029",5.80949972973704
"241","Bristol","bus_stop","21796092",264.425776371304
"242","Bristol","bus_stop","21796098",3.96286230286638
"243","Bristol","bus_stop","21796103",5.76741899055448
"244","Bristol","bus_stop","21796188",7.34523243848686
"245","Bristol","bus_stop","21796204",5.83051552074925
