@id,@lon,@lat,crossing,step_count,surface,incline,highway,step,sidewalk,any
823314903,-3.2701718,51.4764234,traffic_signals,,,,crossing,,,crossing
823314913,-3.2699934,51.4764097,traffic_signals,,,,crossing,,,crossing
823314915,-3.2701791,51.4762029,traffic_signals,,,,crossing,,,crossing
823314924,-3.2699219,51.4761428,traffic_signals,,,,crossing,,,crossing
1000801834,-3.1998781,51.4730441,uncontrolled,,,,crossing,,,crossing
1016000877,-3.2183307,51.4828888,uncontrolled,,,,crossing,,,crossing
1036629393,-3.1581143,51.4888922,traffic_signals,,,,crossing,,,crossing
1037781625,-3.206999,51.4730965,traffic_signals,,,,crossing,,,crossing
1037781719,-3.2071076,51.4730207,traffic_signals,,,,crossing,,,crossing
1039922666,-3.1679391,51.483525,traffic_signals,,,,crossing,,,crossing
1039922900,-3.1694492,51.4830271,uncontrolled,,,,crossing,,,crossing
1039923168,-3.1680356,51.4834828,traffic_signals,,,,crossing,,,crossing
1039923184,-3.1696686,51.4829807,uncontrolled,,,,crossing,,,crossing
1043561347,-3.2075124,51.4733384,traffic_signals,,,,crossing,,,crossing
1043865066,-3.2034118,51.4742642,uncontrolled,,,,crossing,,,crossing
1043865097,-3.203195,51.4738593,uncontrolled,,,,crossing,,,crossing
1043865423,-3.2033408,51.4741299,uncontrolled,,,,crossing,,,crossing
1043865915,-3.2034729,51.4744059,uncontrolled,,,,crossing,,,crossing
1043865940,-3.2032867,51.4739978,uncontrolled,,,,crossing,,,crossing
1043985205,-3.2114529,51.4787573,uncontrolled,,,,crossing,,,crossing
1055323151,-3.1912193,51.4770427,traffic_signals,,,,crossing,,,crossing
1096934825,-3.1695895,51.4627183,uncontrolled,,,,crossing,,,crossing
1097110296,-3.1675697,51.4630102,uncontrolled,,,,crossing,,,crossing
1099557795,-3.1855159,51.4558236,zebra,,,,crossing,,,crossing
1099557799,-3.1855993,51.4566894,zebra,,,,crossing,,,crossing
1099557808,-3.1862339,51.4556344,zebra,,,,crossing,,,crossing
1099557820,-3.1855135,51.4565549,zebra,,,,crossing,,,crossing
1099557835,-3.186974,51.4589916,zebra,,,,crossing,,,crossing
1099557836,-3.1870571,51.4591211,zebra,,,,crossing,,,crossing
1099557844,-3.1854304,51.4564203,zebra,,,,crossing,,,crossing
1103759814,-3.2069246,51.4884511,traffic_signals,,,,crossing,,,crossing
1108141273,-3.1858769,51.4563101,zebra,,,,crossing,,,crossing
1108141281,-3.1857047,51.456031,zebra,,,,crossing,,,crossing
1108141311,-3.1856223,51.4558992,zebra,,,,crossing,,,crossing
1108141346,-3.1860459,51.4565807,zebra,,,,crossing,,,crossing
1108141355,-3.1857857,51.456158,zebra,,,,crossing,,,crossing
1108141365,-3.1849805,51.4554721,zebra,,,,crossing,,,crossing
1108141372,-3.1859628,51.4564471,zebra,,,,crossing,,,crossing
1108187038,-3.1869432,51.4577924,zebra,,,,crossing,,,crossing
