"","X.version","X.timestamp","city"
"216",5,297,"Manchester"
"217",6,297,"Manchester"
"218",4,1652,"Manchester"
"219",3,894,"Manchester"
"220",6,1265,"Manchester"
"221",2,1933,"Manchester"
"222",9,679,"Manchester"
"223",6,3217,"Manchester"
"224",5,1863,"Manchester"
"225",5,133,"Manchester"
"226",5,2162,"Manchester"
"227",5,2548,"Manchester"
"228",4,2556,"Manchester"
"229",7,1904,"Manchester"
"230",4,1901,"Manchester"
"231",11,1901,"Manchester"
"232",7,1909,"Manchester"
"233",5,1909,"Manchester"
"234",3,2379,"Manchester"
"235",10,1715,"Manchester"
"236",3,1925,"Manchester"
"237",7,1193,"Manchester"
"238",7,276,"Manchester"
"239",4,2368,"Manchester"
"240",4,2368,"Manchester"
"241",5,26,"Manchester"
"242",5,650,"Manchester"
"243",5,2175,"Manchester"
"244",13,1105,"Manchester"
"245",2,3208,"Manchester"
"246",7,1191,"Manchester"
"247",3,2148,"Manchester"
"248",4,907,"Manchester"
"249",4,166,"Manchester"
"250",2,3341,"Manchester"
"251",2,3341,"Manchester"
"252",4,1216,"Manchester"
"253",3,1216,"Manchester"
"254",2,3299,"Manchester"
"255",3,684,"Manchester"
"256",4,2934,"Manchester"
"257",9,1101,"Manchester"
"258",3,2946,"Manchester"
"259",5,2149,"Manchester"
"260",3,2366,"Manchester"
"261",3,2366,"Manchester"
"262",2,1855,"Manchester"
"263",3,1855,"Manchester"
"264",14,1729,"Manchester"
"265",2,2936,"Manchester"
"266",4,2946,"Manchester"
"267",4,2946,"Manchester"
"268",3,2362,"Manchester"
"269",4,2362,"Manchester"
"270",3,2946,"Manchester"
"271",3,2946,"Manchester"
"272",11,1105,"Manchester"
"273",4,3060,"Manchester"
"274",5,1552,"Manchester"
"275",4,1728,"Manchester"
"276",2,928,"Manchester"
"277",2,928,"Manchester"
"278",4,58,"Manchester"
"279",4,58,"Manchester"
"280",5,1737,"Manchester"
"281",5,1867,"Manchester"
"282",2,3315,"Manchester"
"283",3,3315,"Manchester"
"284",4,2288,"Manchester"
"285",4,2288,"Manchester"
"286",2,3294,"Manchester"
"287",2,2560,"Manchester"
"288",2,3294,"Manchester"
"289",2,2560,"Manchester"
"290",2,2560,"Manchester"
"291",2,3294,"Manchester"
"292",2,3294,"Manchester"
"293",4,1445,"Manchester"
"294",4,1445,"Manchester"
"295",3,1786,"Manchester"
"296",4,1728,"Manchester"
"297",6,1445,"Manchester"
"298",4,162,"Manchester"
"299",3,2370,"Manchester"
"300",2,3294,"Manchester"
"301",3,2370,"Manchester"
"302",8,134,"Manchester"
"303",5,134,"Manchester"
"304",3,3316,"Manchester"
"305",3,3335,"Manchester"
"306",8,1676,"Manchester"
"307",4,514,"Manchester"
"308",3,916,"Manchester"
"309",2,3128,"Manchester"
"310",6,840,"Manchester"
"311",6,786,"Manchester"
"312",4,2010,"Manchester"
"313",3,2009,"Manchester"
"314",4,2009,"Manchester"
"315",5,2009,"Manchester"
"316",3,2004,"Manchester"
"317",6,2010,"Manchester"
"318",3,2004,"Manchester"
"319",3,2004,"Manchester"
"320",3,2004,"Manchester"
"321",10,1433,"Manchester"
"322",6,187,"Manchester"
"323",3,1541,"Manchester"
"324",3,2490,"Manchester"
"325",2,3110,"Manchester"
"326",4,2961,"Manchester"
"327",5,1679,"Manchester"
"328",2,344,"Manchester"
"329",9,610,"Manchester"
"330",1,3691,"Manchester"
"331",1,3691,"Manchester"
"332",1,3691,"Manchester"
"333",2,699,"Manchester"
"334",1,3691,"Manchester"
"335",2,869,"Manchester"
"336",4,1227,"Manchester"
"337",3,3068,"Manchester"
"338",4,1652,"Manchester"
"339",4,1652,"Manchester"
"340",3,1027,"Manchester"
"341",4,176,"Manchester"
"342",2,3294,"Manchester"
"343",3,1420,"Manchester"
"344",3,1269,"Manchester"
"345",6,2137,"Manchester"
"346",10,611,"Manchester"
"347",3,26,"Manchester"
"348",4,26,"Manchester"
"349",6,1735,"Manchester"
"350",6,1735,"Manchester"
"351",2,2368,"Manchester"
"352",4,1212,"Manchester"
"353",2,2830,"Manchester"
"354",3,1284,"Manchester"
"355",5,1276,"Manchester"
"356",4,1421,"Manchester"
"357",7,1258,"Manchester"
"358",6,2044,"Manchester"
"359",7,1258,"Manchester"
"360",10,1293,"Manchester"
"361",25,1041,"Manchester"
"362",24,1293,"Manchester"
"363",6,1259,"Manchester"
"364",4,1259,"Manchester"
"365",4,3101,"Manchester"
"366",4,2832,"Manchester"
"367",23,1857,"Manchester"
"368",4,1867,"Manchester"
"369",5,1273,"Manchester"
"370",2,1685,"Manchester"
"371",5,323,"Manchester"
"372",20,39,"Manchester"
"373",8,987,"Manchester"
"374",6,1535,"Manchester"
"375",7,1535,"Manchester"
"376",10,1101,"Manchester"
"377",12,962,"Manchester"
"378",4,725,"Manchester"
"379",6,122,"Manchester"
"380",15,645,"Manchester"
"381",15,1279,"Manchester"
"382",5,1425,"Manchester"
"383",5,1285,"Manchester"
"384",15,1277,"Manchester"
"385",8,1498,"Manchester"
"386",11,941,"Manchester"
"387",8,941,"Manchester"
"388",12,941,"Manchester"
"389",13,215,"Manchester"
"390",9,610,"Manchester"
"391",3,792,"Manchester"
"392",4,823,"Manchester"
"393",3,1272,"Manchester"
"394",11,626,"Manchester"
"395",5,1320,"Manchester"
"396",7,1796,"Manchester"
"397",5,1796,"Manchester"
"398",15,1855,"Manchester"
"399",11,1020,"Manchester"
"400",12,1867,"Manchester"
"401",2,1857,"Manchester"
"402",3,2537,"Manchester"
"403",3,1538,"Manchester"
"404",6,1796,"Manchester"
"405",6,1750,"Manchester"
"406",9,1750,"Manchester"
"407",4,895,"Manchester"
"408",1,3589,"Manchester"
"409",5,1304,"Manchester"
"410",1,3586,"Manchester"
"411",5,618,"Manchester"
"412",6,610,"Manchester"
"413",3,1850,"Manchester"
"414",2,3337,"Manchester"
"415",5,2375,"Manchester"
"416",4,1819,"Manchester"
"417",4,2242,"Manchester"
"418",5,1451,"Manchester"
"419",8,1443,"Manchester"
"420",3,1855,"Manchester"
"421",4,1855,"Manchester"
"422",6,1025,"Manchester"
"423",2,928,"Manchester"
"424",8,1863,"Manchester"
"425",4,1904,"Manchester"
"426",6,2552,"Manchester"
"427",4,2316,"Manchester"
"428",4,2422,"Manchester"
"429",4,1725,"Manchester"
"430",4,1239,"Manchester"
"431",10,1194,"Manchester"
"432",9,1635,"Manchester"
"433",7,1861,"Manchester"
"434",6,1861,"Manchester"
"435",8,3093,"Manchester"
"436",4,3093,"Manchester"
"437",5,3092,"Manchester"
"438",15,3093,"Manchester"
"439",21,1188,"Manchester"
"440",7,2116,"Manchester"
"441",5,2147,"Manchester"
"442",5,2948,"Manchester"
"443",7,886,"Manchester"
"444",3,1749,"Manchester"
"445",10,1425,"Manchester"
"446",8,127,"Manchester"
"447",16,981,"Manchester"
"448",18,117,"Manchester"
"449",19,117,"Manchester"
"450",4,1034,"Manchester"
"451",3,2520,"Manchester"
"452",3,1857,"Manchester"
"453",3,1857,"Manchester"
"454",5,626,"Manchester"
"455",6,2488,"Manchester"
"456",4,760,"Manchester"
"457",7,757,"Manchester"
"458",5,1880,"Manchester"
"459",4,2116,"Manchester"
"460",2,489,"Manchester"
"461",4,404,"Manchester"
"462",4,3093,"Manchester"
"463",6,2544,"Manchester"
"464",2,1850,"Manchester"
"465",12,1273,"Manchester"
"466",5,2175,"Manchester"
"467",3,1176,"Manchester"
"468",2,2115,"Manchester"
"469",2,2325,"Manchester"
"470",5,1716,"Manchester"
"471",3,1733,"Manchester"
"472",16,2401,"Manchester"
"473",3,1733,"Manchester"
"474",12,992,"Manchester"
"475",8,671,"Manchester"
"476",5,1734,"Manchester"
"477",8,1990,"Manchester"
"478",7,1737,"Manchester"
"479",6,1732,"Manchester"
"480",3,2625,"Manchester"
"481",5,2334,"Manchester"
"482",11,3093,"Manchester"
"483",22,807,"Manchester"
"484",2,1759,"Manchester"
"485",4,1970,"Manchester"
"486",3,648,"Manchester"
"487",3,1978,"Manchester"
"488",3,2116,"Manchester"
"489",6,2401,"Manchester"
"490",19,1724,"Manchester"
"491",10,2391,"Manchester"
"492",9,544,"Manchester"
"493",6,1716,"Manchester"
"494",5,1283,"Manchester"
"495",6,1118,"Manchester"
"496",6,1117,"Manchester"
"497",7,2847,"Manchester"
"498",4,1283,"Manchester"
"499",8,1436,"Manchester"
"500",6,1293,"Manchester"
"501",12,1283,"Manchester"
"502",3,1776,"Manchester"
"503",3,1335,"Manchester"
"504",9,760,"Manchester"
"505",4,1855,"Manchester"
"506",3,2179,"Manchester"
"507",14,122,"Manchester"
"508",2,1535,"Manchester"
"509",2,1535,"Manchester"
"510",2,3355,"Manchester"
"511",9,434,"Manchester"
"512",7,434,"Manchester"
"513",8,434,"Manchester"
"514",7,434,"Manchester"
"515",8,434,"Manchester"
"516",9,601,"Manchester"
"517",9,1069,"Manchester"
"518",6,1405,"Manchester"
"519",7,1731,"Manchester"
"520",7,1100,"Manchester"
"521",7,1796,"Manchester"
"522",7,1100,"Manchester"
"523",9,1731,"Manchester"
"524",2,1626,"Manchester"
"525",1,3522,"Manchester"
"526",1,3522,"Manchester"
"527",1,3522,"Manchester"
"528",3,2713,"Manchester"
"529",1,3522,"Manchester"
"530",1,3522,"Manchester"
"531",1,3522,"Manchester"
"532",1,3522,"Manchester"
"533",5,2379,"Manchester"
"534",2,1434,"Manchester"
"535",7,238,"Manchester"
"536",9,1433,"Manchester"
"537",5,2490,"Manchester"
"538",5,869,"Manchester"
"539",5,869,"Manchester"
"540",7,869,"Manchester"
"541",4,1965,"Manchester"
"542",4,2954,"Manchester"
"543",8,1243,"Manchester"
"544",4,2738,"Manchester"
"545",5,1859,"Manchester"
"546",4,3188,"Manchester"
"547",5,1673,"Manchester"
"548",4,928,"Manchester"
"549",2,3367,"Manchester"
"550",5,384,"Manchester"
"551",7,1443,"Manchester"
"552",4,1327,"Manchester"
"553",4,1851,"Manchester"
"554",3,1857,"Manchester"
"555",9,620,"Manchester"
"556",8,613,"Manchester"
"557",8,401,"Manchester"
"558",7,284,"Manchester"
"559",6,811,"Manchester"
"560",3,2974,"Manchester"
"561",2,3081,"Manchester"
"562",3,2713,"Manchester"
"563",1,3501,"Manchester"
"564",2,2015,"Manchester"
"565",9,434,"Manchester"
"566",3,754,"Manchester"
"567",3,1737,"Manchester"
"568",2,2015,"Manchester"
"569",4,1854,"Manchester"
"570",1,3489,"Manchester"
"571",6,1641,"Manchester"
"572",2,2015,"Manchester"
"573",1,3487,"Manchester"
"574",1,3487,"Manchester"
"575",1,3487,"Manchester"
"576",2,2552,"Manchester"
"577",1,3486,"Manchester"
"578",2,2126,"Manchester"
"579",1,3486,"Manchester"
"580",3,443,"Manchester"
"581",2,905,"Manchester"
"582",1,3486,"Manchester"
"583",2,2921,"Manchester"
"584",1,3486,"Manchester"
"585",6,1709,"Manchester"
"586",5,1635,"Manchester"
"587",6,1639,"Manchester"
"588",10,610,"Manchester"
"589",4,1946,"Manchester"
"590",3,2713,"Manchester"
"591",3,2713,"Manchester"
"592",4,2586,"Manchester"
"593",2,2586,"Manchester"
"594",6,1276,"Manchester"
"595",9,753,"Manchester"
"596",9,127,"Manchester"
"597",2,3081,"Manchester"
"598",2,1658,"Manchester"
"599",2,1657,"Manchester"
"600",2,1210,"Manchester"
"601",2,1657,"Manchester"
"602",2,1657,"Manchester"
"603",5,2811,"Manchester"
"604",3,1119,"Manchester"
"605",3,130,"Manchester"
"606",4,130,"Manchester"
"607",2,3248,"Manchester"
"608",1,3461,"Manchester"
"609",1,3460,"Manchester"
"610",5,1257,"Manchester"
"611",5,1064,"Manchester"
"612",3,1065,"Manchester"
"613",3,3235,"Manchester"
"614",7,135,"Manchester"
"615",7,364,"Manchester"
"616",4,729,"Manchester"
"617",2,1964,"Manchester"
"618",2,1850,"Manchester"
"619",9,2149,"Manchester"
"620",12,2149,"Manchester"
"621",6,2158,"Manchester"
"622",7,2156,"Manchester"
"623",5,1631,"Manchester"
"624",5,1631,"Manchester"
"625",3,2158,"Manchester"
"626",4,2157,"Manchester"
"627",8,2158,"Manchester"
"628",7,2158,"Manchester"
"629",3,2158,"Manchester"
"630",6,1631,"Manchester"
"631",3,2523,"Manchester"
"632",3,2520,"Manchester"
"633",6,1005,"Manchester"
"634",9,1404,"Manchester"
"635",7,2746,"Manchester"
"636",8,2407,"Manchester"
"637",7,2536,"Manchester"
"638",8,2974,"Manchester"
"639",7,2974,"Manchester"
"640",8,122,"Manchester"
"641",6,2975,"Manchester"
"642",4,1204,"Manchester"
"643",4,1119,"Manchester"
