"","City","Type","Location","Points.Distance"
"122","Bristol","entrance","3","56.406375440355"
"123","Bristol","entrance","4","183.071835553117"
"124","Bristol","entrance","5","3.75915404302149"
"125","Bristol","entrance","6","3.80952981635496"
"126","Bristol","entrance","7","147.463796627749"
"127","Bristol","entrance","8","168.282774152559"
"128","Bristol","entrance","9","73.0385894704129"
"129","Bristol","entrance","10","11.9838302785566"
"130","Bristol","entrance","11","45.3313171588308"
"131","Bristol","entrance","12","3.00377574948282"
"132","Bristol","entrance","13","84.4240710476366"
"133","Bristol","outdoor_seating","1","363.124620725726"
"134","Bristol","outdoor_seating","2","0.785735491123377"
"135","Bristol","outdoor_seating","3","97.5220348678125"
"136","Bristol","outdoor_seating","4","104.77903116362"
"137","Bristol","outdoor_seating","5","242.828271186299"
"138","Bristol","waste_basket","1","31.2046243806228"
"139","Bristol","waste_basket","2","101.106185968352"
"140","Bristol","waste_basket","3","84.1829100063995"
"141","Bristol","waste_basket","4","155.811503566249"
"142","Bristol","waste_basket","5","2.8118758258119"
"143","Bristol","waste_basket","6","20.9190562115499"
"144","Bristol","underpass","1","11.1790691006522"
"145","Bristol","underpass","2","1.25678618900626"
"146","Bristol","bench","1","341.227370302888"
"147","Bristol","bench","2","98.1567742221313"
"148","Bristol","bike_parking","1","4.79324286127616"
"149","Bristol","bike_parking","2","4.52220676608836"
"150","Bristol","bike_parking","3","14.0610367441519"
"151","Bristol","bike_parking","4","3.63538150529089"
"152","Bristol","bike_parking","5","6.74971018487622"
"153","Bristol","bike_parking","6","0.882481199263528"
"154","Bristol","bike_parking","7","9.69281650783112"
"155","Bristol","bike_parking","8","2.66421953132567"
"156","Bristol","bike_parking","9","1.15824203350815"
"157","Bristol","bike_parking","10","2.11972943213561"
"158","Bristol","bike_parking","11","2.46671399656542"
"159","Bristol","bike_parking","12","3.57855732094253"
"160","Bristol","bike_parking","13","1.37977755436495"
"161","Bristol","bike_parking","14","59.2680784753344"
"162","Bristol","bike_parking","15","2.4226319896435"
"163","Bristol","bike_parking","16","3.22592659381579"
"164","Bristol","bike_parking","17","11.9873018349665"
"165","Bristol","bike_parking","18","3.31093051434875"
"166","Bristol","bike_parking","19","5.07104475726756"
"167","Bristol","bike_parking","20","44.488420550452"
"168","Bristol","bike_parking","21","5.37894633161135"
"169","Bristol","bike_parking","22","3.73945049842867"
"170","Bristol","bike_parking","23","7.10845675170426"
"171","Bristol","bus_stop","1","14.027181081978"
"172","Bristol","bus_stop","2","3.05130873593922"
"173","Bristol","bus_stop","3","2.94689570954723"
"174","Bristol","bus_stop","4","64.9326761660602"
"175","Bristol","bus_stop","5","0.139532573968623"
"176","Bristol","bus_stop","6","3.55696632709248"
"177","Bristol","bus_stop","7","11.9638103952763"
"178","Bristol","bus_stop","8","18.5738250706693"
"179","Bristol","bus_stop","9","4.88287601242076"
"180","Bristol","bus_stop","10","3.19330845565965"
"181","Bristol","bus_stop","11","2.71240675037517"
"182","Bristol","bus_stop","12","17.4556784699446"
